Name,Country,Latitude,Longitude
Helsinki,Finland,60.1674881,24.9427473
Espoo,Finland,60.2047672,24.6568435
Tampere,Finland,61.4980214,23.7603118
Vantaa,Finland,60.2921321,25.0411832
Oulu,Finland,65.0118734,25.4716809
Turku,Finland,60.4517531,22.2670522
Jyväskylä,Finland,62.2417066,25.7495727
Lahti,Finland,60.9826014,25.6613764
Kuopio,Finland,62.8924601,27.6781839
Pori,Finland,61.4865542,21.7968951
Kouvola,Finland,60.8680928,26.7038517
Joensuu,Finland,62.6005753,29.7622128
Lappeenranta,Finland,61.0583713,28.1862742
Hämeenlinna,Finland,60.9948584,24.46654
Vaasa,Finland,63.081820949999994,21.479812522296804
Seinäjoki,Finland,62.7954104,22.8442015
Rovaniemi,Finland,66.5025657,25.73122
Mikkeli,Finland,61.6877956,27.2726569
Kotka,Finland,60.4674228,26.9450844
Salo,Finland,60.3846716,23.1286377
Porvoo,Finland,60.3953913,25.6604862
Kokkola,Finland,63.8391421,23.1336845
Hyvinkää,Finland,60.6335719,24.8695328
Lohja,Finland,60.2526036,24.0684575
Järvenpää,Finland,60.4743601,25.0925118
Rauma,Finland,61.1289148,21.5039401
Kajaani,Finland,64.2240872,27.7334227
Kerava,Finland,60.4034398,25.1041013
Savonlinna,Finland,61.8689933,28.8797178
Nokia,Finland,61.4781666,23.5096158
Kaarina,Finland,60.407169,22.3678223
Ylöjärvi,Finland,61.5499614,23.5969495
Kangasala,Finland,61.4649006,24.0659379
Riihimäki,Finland,60.7390089,24.7728148
Raasepori,Finland,59.9285263,23.52192344963455
Imatra,Finland,61.1923342,28.7716996
Raahe,Finland,64.6795905,24.4709593
Berlin,Germany,52.5170365,13.3888599
Hamburg,Germany,53.550341,10.000654
Munich,Germany,48.1371079,11.5753822
Cologne,Germany,50.938361,6.959974
Frankfurt am Main,Germany,50.1106444,8.6820917
Stuttgart,Germany,48.7784485,9.1800132
Düsseldorf,Germany,51.2254018,6.7763137
Leipzig,Germany,51.3406321,12.3747329
Dortmund,Germany,51.5142273,7.4652789
Essen,Germany,51.4582235,7.0158171
Bremen,Germany,53.0758196,8.8071646
Dresden,Germany,51.0493286,13.7381437
Hanover,Germany,52.3744779,9.7385532
Nuremberg,Germany,49.453872,11.077298
Duisburg,Germany,51.434999,6.759562
Bochum,Germany,51.4818111,7.2196635
Wuppertal,Germany,51.264018,7.1780374
Bielefeld,Germany,52.0191005,8.531007
Bonn,Germany,50.735851,7.10066
Münster,Germany,51.9625101,7.6251879
Mannheim,Germany,49.4892913,8.4673098
Karlsruhe,Germany,49.0068705,8.4034195
Augsburg,Germany,48.3668041,10.8986971
Wiesbaden,Germany,50.0820384,8.2416556
Mönchengladbach,Germany,51.1947131,6.4353792
Gelsenkirchen,Germany,51.5110321,7.0960124
Aachen,Germany,50.776351,6.083862
Braunschweig,Germany,52.2646577,10.5236066
Kiel,Germany,54.3227085,10.135555
Chemnitz,Germany,50.8323531,12.918914
Halle,Germany,51.4825041,11.9705452
Magdeburg,Germany,52.1315889,11.6399609
Freiburg im Breisgau,Germany,47.9960901,7.8494005
Krefeld,Germany,51.3331205,6.5623343
Mainz,Germany,50.0012314,8.2762513
Lübeck,Germany,53.866444,10.684738
Erfurt,Germany,50.9777974,11.0287364
Oberhausen,Germany,51.4696137,6.8514435
Rostock,Germany,54.0886707,12.1400211
Kassel,Germany,51.3154546,9.4924096
Hagen,Germany,51.3582945,7.473296
Potsdam,Germany,52.428412800000004,13.024177807690265
Saarbrücken,Germany,49.234362,6.996379
Hamm,Germany,50.0165178,6.4184628
Ludwigshafen am Rhein,Germany,49.4704113,8.4381568
Mülheim an der Ruhr,Germany,51.4272925,6.8829192
Oldenburg,Germany,53.1389753,8.2146017
Osnabrück,Germany,52.37265095,8.161049572938472
Leverkusen,Germany,51.0324743,6.9881194
Darmstadt,Germany,49.8851869,8.6736295
Heidelberg,Germany,49.4093582,8.694724
Solingen,Germany,51.1721629,7.0845893
Herne,Germany,51.5380394,7.219985
Regensburg,Germany,49.0195333,12.0974869
Neuss,Germany,51.1981778,6.6916476
Paris,France,48.8534951,2.3483915
Marseille,France,43.2961743,5.3699525
Lyon,France,45.7578137,4.8320114
Toulouse,France,43.6044622,1.4442469
Nice,France,43.7009358,7.2683912
Nantes,France,47.2186371,-1.5541362
Montpellier,France,43.6112422,3.8767337
Strasbourg,France,48.584614,7.7507127
Bordeaux,France,44.841225,-0.5800364
Lille,France,50.6365654,3.0635282
Rennes,France,48.1113387,-1.6800198
Reims,France,49.2577886,4.031926
Toulon,France,43.1257311,5.9304919
Saint-Étienne,France,45.4401467,4.3873058
Le Havre,France,49.4938975,0.1079732
Grenoble,France,45.1875602,5.7357819
Dijon,France,47.3215806,5.0414701
Angers,France,47.4739884,-0.5515588
Saint-Denis,France,48.935773,2.3580232
Villeurbanne,France,45.7733573,4.8868454
Nîmes,France,43.8374249,4.3600687
Clermont-Ferrand,France,45.7774551,3.0819427
Aix-en-Provence,France,43.5298424,5.4474738
Le Mans,France,48.0073849,0.1967849
Brest,France,48.3905283,-4.4860088
Tours,France,47.3900474,0.6889268
Amiens,France,49.8941708,2.2956951
Limoges,France,45.8354243,1.2644847
Annecy,France,45.8992348,6.1288847
Boulogne-Billancourt,France,48.8356649,2.240206
Perpignan,France,42.6985304,2.8953121
Metz,France,49.1196964,6.1763552
Besançon,France,47.2380222,6.0243622
Orléans,France,47.9027336,1.9086066
Saint-Denis,France,48.935773,2.3580232
Rouen,France,49.4404591,1.0939658
Montreuil,France,50.4638918,1.7631125
Argenteuil,France,48.9479069,2.2481797
Mulhouse,France,47.7467233,7.3389937
Caen,France,49.1813403,-0.3635615
Nancy,France,48.6937223,6.1834097
Saint-Paul,France,49.4318046,2.0100016
Roubaix,France,50.6915893,3.1741734
Tourcoing,France,50.7235038,3.1605714
Nanterre,France,48.8924273,2.2071267
Vitry-sur-Seine,France,48.7876,2.39164
Créteil,France,48.7771486,2.4530731
Avignon,France,43.9492493,4.8059012
Poitiers,France,46.5802596,0.340196
Aubervilliers,France,48.9146078,2.3821895
Asnières-sur-Seine,France,48.9105948,2.2890454
Aulnay-sous-Bois,France,48.934231,2.499789
Colombes,France,48.922788,2.2543577
Dunkirk,France,51.0347708,2.3772525
Saint-Pierre,France,48.3832725,7.4718731
Versailles,France,48.8035403,2.1266886
Courbevoie,France,48.8953328,2.2561602
Le Tampon,France,-21.2774285,55.5164178
Cherbourg-en-Cotentin,France,49.6425343,-1.6249565
Rueil-Malmaison,France,48.87778,2.1802832
Béziers,France,43.3426562,3.2131307
La Rochelle,France,46.1591126,-1.1520434
Champigny-sur-Marne,France,48.8137759,2.5107384
Fort-de-France,France,14.6027962,-61.0676724
Pau,France,43.2957547,-0.3685668
Saint-Maur-des-Fossés,France,48.8033057,2.4853015
Cannes,France,43.5515198,7.0134418
Antibes,France,43.5812868,7.1262071
Calais,France,50.9524769,1.8538446
Drancy,France,48.9229803,2.4455201
Mérignac,France,44.842168,-0.6469022
Mamoudzou,France,-12.7804136,45.2279761
Saint-Nazaire,France,47.2733517,-2.2138905
Ajaccio,France,41.9263991,8.7376029
Colmar,France,48.0777517,7.3579641
Issy-les-Moulineaux,France,48.8250508,2.273457
Noisy-le-Grand,France,48.8478586,2.5529612
Vénissieux,France,45.6977109,4.8855966
Évry-Courcouronnes,France,48.629966,2.4381816
Levallois-Perret,France,48.892956,2.2881683
Cergy,France,49.0527528,2.0388736
Cayenne,France,4.9371544,-52.3258736
Pessac,France,44.805615,-0.6308396
Valence,France,44.9332277,4.8920811
Bourges,France,47.0811658,2.399125
Ivry-sur-Seine,France,48.8122302,2.3872525
Quimper,France,47.9960325,-4.1024782
Clichy,France,48.9026,2.30551
La Seyne-sur-Mer,France,43.1007714,5.8788948
Antony,France,48.753554,2.2959423
Troyes,France,48.2971626,4.0746257
Villeneuve-d'Ascq,France,50.6193174,3.1314002
Montauban,France,44.0175835,1.3549991
Pantin,France,48.8965023,2.4019804
Neuilly-sur-Seine,France,48.884683,2.2695658
Sarcelles,France,48.9960813,2.3796245
Niort,France,46.3241132,-0.4649403
Chambéry,France,45.5662672,5.9203636
Madrid,Spain,40.4167047,-3.7035825
Barcelona,Spain,41.3828939,2.1774322
Valencia,Spain,39.4697065,-0.3763353
Seville,Spain,37.3886303,-5.9953403
Bilbao,Spain,43.2630018,-2.9350039
Málaga,Spain,36.7213028,-4.4216366
Asturias,Spain,43.3133868,-5.94192
Alicante,Spain,38.3436365,-0.4881708
Las Palmas,Spain,27.9580004,-15.6062305376665
Zaragoza,Spain,41.6521342,-0.8809428
Murcia,Spain,37.9923795,-1.1305431
Santa Cruz de Tenerife,Spain,28.467178,-16.2507843
Granada,Spain,37.1734995,-3.5995337
Palma de Mallorca,Spain,39.5695818,2.6500745
Vigo,Spain,42.1964491,-8.7117809
Cartagena,Spain,37.6019353,-0.9841152
Cádiz,Spain,36.5297438,-6.2928976
San Sebastián,Spain,43.3224219,-1.9838889
A Coruña,Spain,43.3709703,-8.3959425
Valladolid,Spain,41.6521328,-4.728562
Tarragona,Spain,41.1172364,1.2546057
Córdoba,Spain,37.8845813,-4.7760138
Pamplona,Spain,42.8181992,-1.6440089
Castellón de la Plana,Spain,39.9860347,-0.0377354
Bay of Santander,Spain,36.6342504,-6.350784731711393
Alzira–Xàtiva,Spain,39.061981,-0.4858336
Vitoria-Gasteiz,Spain,42.8465088,-2.6724025
Algeciras–La Línea,Spain,36.128966,-5.4383629
Huelva,Spain,37.2575874,-6.9484945
Almería,Spain,36.8414197,-2.4628135
Salamanca,Spain,40.9651572,-5.6640182
Jerez de la Frontera,Spain,36.6816936,-6.1377402
León,Spain,42.63414505,-5.971415104539984
Albacete,Spain,38.9950921,-1.8559154
Jaén–Martos,Spain,37.7224552,-3.9754539938867564
Burgos,Spain,42.343926,-3.696977
Logroño,Spain,42.4661196,-2.4396676
Ferrol–Narón,Spain,43.5376749,-8.20182867093612
Lleida,Spain,41.6147605,0.6267842
Girona–Salt,Spain,41.9821543,2.805513
Pontevedra–Marín,Spain,42.4092824,-8.6796103
Badajoz,Spain,38.8780585,-6.9702048